features,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15
ENSG00000116213.16,1762,1791,1464,1935,1468,1814,1650,1733,1437,1661,1922,2080
ENSG00000078900.15,89,63,258,4,122,86,3,126,311,207,3,169
ENSG00000227589.1,0,1,0,0,0,2,1,0,0,1,1,0
ENSG00000235131.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000227372.12,635,611,249,313,415,565,280,408,309,298,361,619
ENSG00000276189.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000162592.10,0,2,2,0,0,0,1,1,1,1,4,0
ENSG00000235169.11,12,20,4,1,6,7,0,5,7,6,0,3
ENSG00000130764.10,1701,1615,669,2047,1473,1610,1663,1499,794,785,1969,1959
ENSG00000266075.2,1,0,0,0,0,0,0,0,0,0,1,0
ENSG00000272153.1,15,7,1,2,7,3,4,4,2,1,10,8
ENSG00000116198.14,1373,1264,799,1306,1026,1170,1052,1118,897,895,1332,1470
ENSG00000169598.17,278,308,139,446,312,260,342,322,149,171,476,407
ENSG00000198912.12,1021,1025,817,1877,919,959,1585,979,831,1020,1939,1132
ENSG00000236423.8,5,8,14,7,2,6,8,3,2,5,15,2
ENSG00000233304.7,0,0,0,3,0,0,0,0,1,0,0,0
ENSG00000226374.3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284668.2,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000284703.1,1,0,0,0,0,0,0,0,1,0,0,0
ENSG00000229280.1,0,1,7,4,1,7,4,2,1,1,2,3
ENSG00000235054.4,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284694.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000227169.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232596.3,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000196581.11,0,0,1,0,0,0,0,1,0,0,0,6
ENSG00000287586.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284739.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284674.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000231510.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284616.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284692.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284666.1,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000260972.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000283356.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236948.2,0,0,0,0,0,1,0,1,0,0,0,2
ENSG00000264341.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000289893.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264101.1,0,0,0,0,0,1,0,0,0,0,0,1
ENSG00000131697.18,593,559,534,341,613,657,300,733,396,610,352,958
ENSG00000069424.16,9786,9650,8385,2397,10897,10190,1868,11508,8525,6380,2138,15364
ENSG00000116254.18,1,4,1,12,2,2,4,1,1,5,7,3
ENSG00000285629.1,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000116251.11,456,471,497,438,426,469,409,498,509,425,518,553
ENSG00000226944.1,1,2,2,0,1,2,0,0,2,2,0,1
ENSG00000158286.13,202,153,39,4,123,154,1,173,37,92,1,170
ENSG00000116237.16,2100,2403,3074,1705,2788,2287,1389,2726,3136,3207,1757,3050
ENSG00000225077.3,4,3,6,25,9,3,12,15,11,7,17,18
ENSG00000173673.8,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000158292.7,38,49,59,220,42,43,166,45,32,79,149,37
ENSG00000097021.20,5131,4683,8049,6246,6758,5806,5175,7068,7992,7134,6115,9618
ENSG00000271746.1,3,2,0,0,3,0,0,1,2,1,0,1
ENSG00000069812.11,0,1,2,1,1,0,1,0,0,1,0,0
ENSG00000187017.18,27,28,9,2,22,18,0,33,10,14,0,35
ENSG00000265392.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000231868.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000215788.11,5014,4769,1933,9,2514,5222,6,2808,1732,2530,13,3327
ENSG00000171680.23,132,111,43,15,66,114,33,79,39,66,18,120
ENSG00000162408.11,808,740,430,485,726,663,393,720,492,485,552,1066
ENSG00000253022.1,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000229519.2,4,2,1,2,3,8,0,4,0,1,0,5
ENSG00000173662.21,3,2,0,3,1,1,1,2,0,0,2,4
ENSG00000204859.13,831,838,653,448,593,895,353,642,576,480,399,806
ENSG00000162413.17,2015,1710,1151,3180,2240,1740,2463,2374,1171,1103,2859,3305
ENSG00000116273.6,382,360,368,451,306,376,337,359,444,398,440,469
ENSG00000041988.16,324,348,475,282,293,395,214,344,475,476,263,381
ENSG00000007923.17,1747,1704,1527,1539,1804,1802,1276,1780,1536,2035,1445,2605
ENSG00000228750.7,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000284744.1,0,0,0,0,1,0,0,0,0,0,0,1
ENSG00000237436.1,5,2,5,7,2,1,6,1,5,4,15,1
ENSG00000171735.20,351,333,463,605,334,308,575,366,436,450,667,435
ENSG00000227950.1,0,0,1,0,1,0,0,0,0,0,0,1
ENSG00000237365.1,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000207056.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237402.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237728.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000225126.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000270171.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000270035.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000269978.1,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000049245.13,746,692,524,807,720,694,744,715,475,472,872,833
ENSG00000269925.1,3,4,2,5,2,1,5,3,5,3,9,4
ENSG00000049246.15,95,131,159,181,62,132,114,108,176,168,153,87
ENSG00000236266.1,2,3,2,1,1,3,2,3,1,2,2,0
ENSG00000049247.14,1,2,0,0,1,0,0,3,1,0,0,4
ENSG00000049249.10,267,239,205,0,210,179,0,251,279,626,0,240
ENSG00000270330.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000116288.13,7547,7163,10300,5911,8258,7581,5052,8042,10807,10363,6361,8674
ENSG00000200344.1,3,2,1,0,0,1,2,2,0,1,1,2
ENSG00000284747.1,11,10,11,9,7,10,14,9,9,9,4,5
ENSG00000284716.1,1,0,1,0,0,0,1,1,0,0,1,1
ENSG00000116285.13,12,25,19,1,21,17,2,22,19,39,2,17
ENSG00000238290.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232848.1,2,10,4,5,3,7,11,6,14,7,9,3
ENSG00000229305.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000288816.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000227634.3,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000200975.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233645.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000251977.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000162426.16,42,51,10,0,20,33,0,46,14,15,0,40
ENSG00000252254.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000142599.20,894,893,399,220,700,615,202,656,467,509,238,1013
ENSG00000232912.6,9,4,0,0,4,11,1,5,2,0,1,8
ENSG00000221083.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000270282.1,2,0,2,1,1,2,0,1,0,0,0,2
ENSG00000234619.1,1,2,0,8,3,6,6,2,7,4,7,1
ENSG00000224315.2,2,0,0,5,1,2,2,0,4,1,0,0
ENSG00000222511.2,0,0,3,2,0,2,1,1,3,0,5,2
ENSG00000226545.1,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000228423.2,3,1,1,0,1,0,0,0,1,0,0,0
ENSG00000229716.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000074800.16,141646,136309,170953,115348,129072,145756,93668,134730,167876,204534,111398,162613
ENSG00000274258.1,1,4,0,0,2,0,0,1,0,0,0,3
ENSG00000230679.1,9,15,9,11,13,6,9,12,5,15,5,6
ENSG00000201725.1,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000238249.2,45,38,163,326,105,69,256,108,181,122,350,119
ENSG00000232208.2,17,18,2,3,9,19,6,4,5,3,4,7
ENSG00000232663.2,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000131686.15,16,23,5,0,6,8,3,3,6,1,1,4
ENSG00000290109.1,21,16,0,0,5,30,0,4,7,1,0,7
ENSG00000265141.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197241.4,0,1,1,1,0,0,0,0,0,2,0,1
ENSG00000142583.18,1,0,0,0,1,1,0,0,2,0,0,1
ENSG00000252404.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000180758.12,121,119,34,0,100,127,0,108,50,43,0,89
ENSG00000228526.8,44,26,18,0,33,21,2,31,22,21,0,25
ENSG00000284357.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000289914.1,1,0,0,0,1,1,0,0,0,0,0,0
ENSG00000234546.5,9,8,10,0,11,10,0,5,6,4,1,9
ENSG00000049239.13,2178,1766,492,925,1439,1783,687,1529,666,471,945,2302
ENSG00000171621.14,420,441,312,255,347,428,178,361,301,581,169,419
ENSG00000284652.1,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000284693.2,0,1,0,8,0,0,3,0,0,2,5,0
ENSG00000252956.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000235263.1,1,0,0,0,0,0,0,1,0,0,1,0
ENSG00000171612.7,431,487,547,960,478,466,805,491,506,660,1159,550
ENSG00000231181.1,10,12,13,16,5,8,5,7,11,16,16,4
ENSG00000188807.13,951,887,1017,2465,1084,835,1925,1131,962,1191,2317,1531
ENSG00000171608.18,20921,19986,8682,607,20861,19914,569,23613,9137,9058,583,34347
ENSG00000179840.5,232,105,22,2,51,70,3,90,21,20,0,162
ENSG00000233268.3,1,10,0,0,1,0,0,1,1,0,0,7
ENSG00000231789.4,9,5,0,8,6,5,7,5,0,2,14,10
ENSG00000171603.18,4898,4956,4019,2963,5762,4641,2481,6224,3674,3463,2685,8320
ENSG00000271264.1,0,0,1,0,0,0,0,3,0,0,0,0
ENSG00000280113.2,0,0,0,0,0,0,0,0,0,0,1,2
ENSG00000178585.15,292,310,317,810,288,321,720,322,305,234,870,407
ENSG00000223989.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000285701.1,2,0,0,0,0,0,3,0,0,0,1,0
ENSG00000162441.12,388,358,460,782,450,371,680,456,587,501,896,524
ENSG00000228150.1,8,6,10,8,10,13,5,8,2,10,5,7
ENSG00000173614.14,97,102,133,301,88,109,252,104,146,134,287,136
ENSG00000202415.1,0,2,1,1,0,2,2,0,3,2,0,0
ENSG00000283611.2,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000265521.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000241326.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000162444.12,1,0,0,1,0,0,0,0,0,2,3,0
ENSG00000130939.20,861,962,710,1129,988,1005,987,982,813,861,1172,1291
ENSG00000224340.1,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000233623.2,0,1,1,0,0,0,0,0,0,0,0,0
ENSG00000201746.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000054523.20,688,722,564,685,933,668,545,1046,558,674,712,1432
ENSG00000264881.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000199562.1,0,0,0,1,0,1,2,2,0,0,0,1
ENSG00000264501.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284735.1,2,1,3,1,2,1,1,2,0,2,1,2
ENSG00000284642.1,2,4,0,4,3,0,1,4,2,0,3,4
ENSG00000142657.21,2749,2605,4424,7233,3126,2994,6042,3363,4379,5817,7168,4786
ENSG00000271989.1,1,2,0,0,2,2,0,2,1,0,2,0
ENSG00000251503.8,1,1,0,0,0,0,2,0,0,0,1,0
ENSG00000175279.22,13,8,23,22,11,6,26,15,25,20,31,8
ENSG00000241563.4,1,5,1,9,2,1,11,3,0,2,10,1
ENSG00000160049.12,1233,1191,1536,2087,1165,1248,1637,1213,1531,1707,1951,1572
ENSG00000203469.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000142655.13,727,640,738,680,701,647,551,692,767,821,623,848
ENSG00000287727.1,1,0,2,1,0,2,0,2,0,0,1,0
