"","ensembl_gene_id_version","external_gene_name","ensembl_gene_id"
"32571","ENSG00000284277.1","MIR7162","ENSG00000284277"
"32572","ENSG00000284317.1","MIR7114","ENSG00000284317"
"32573","ENSG00000284341.1","","ENSG00000284341"
"32574","ENSG00000284415.1","MIR1287","ENSG00000284415"
"32575","ENSG00000284442.1","MIR2110","ENSG00000284442"
"32576","ENSG00000284459.1","MIR24-1","ENSG00000284459"
"32577","ENSG00000284482.1","MIR4680","ENSG00000284482"
"32578","ENSG00000284525.1","MIR4687","ENSG00000284525"
"32579","ENSG00000284547.1","MIR2861","ENSG00000284547"
"32580","ENSG00000284594.1","MIR7847","ENSG00000284594"
"32581","ENSG00000284605.1","ENPP7P15","ENSG00000284605"
"32582","ENSG00000284639.1","","ENSG00000284639"
"32583","ENSG00000284763.1","","ENSG00000284763"
"32584","ENSG00000284779.3","","ENSG00000284779"
"32585","ENSG00000284867.1","","ENSG00000284867"
"32586","ENSG00000284931.1","","ENSG00000284931"
"32587","ENSG00000284951.1","","ENSG00000284951"
"32588","ENSG00000284962.1","","ENSG00000284962"
"32589","ENSG00000284969.1","","ENSG00000284969"
"32590","ENSG00000284976.2","","ENSG00000284976"
"32591","ENSG00000284977.3","","ENSG00000284977"
"32592","ENSG00000285076.1","","ENSG00000285076"
"32593","ENSG00000285082.3","","ENSG00000285082"
"32594","ENSG00000285115.1","","ENSG00000285115"
"32595","ENSG00000285130.2","","ENSG00000285130"
"32596","ENSG00000285245.1","","ENSG00000285245"
"32597","ENSG00000285254.2","","ENSG00000285254"
"32598","ENSG00000285257.1","","ENSG00000285257"
"32599","ENSG00000285269.2","","ENSG00000285269"
"32600","ENSG00000285283.1","","ENSG00000285283"
"32601","ENSG00000285287.1","","ENSG00000285287"
"32602","ENSG00000285294.1","LINC00842","ENSG00000285294"
"32603","ENSG00000285300.1","","ENSG00000285300"
"32604","ENSG00000285338.1","","ENSG00000285338"
"32605","ENSG00000285370.1","","ENSG00000285370"
"32606","ENSG00000285402.1","","ENSG00000285402"
"32607","ENSG00000285483.1","LINC03094","ENSG00000285483"
"32608","ENSG00000285498.1","","ENSG00000285498"
"32609","ENSG00000285520.1","","ENSG00000285520"
"32610","ENSG00000285529.1","","ENSG00000285529"
"32611","ENSG00000285540.1","","ENSG00000285540"
"32612","ENSG00000285545.1","","ENSG00000285545"
"32613","ENSG00000285551.2","LINC02929","ENSG00000285551"
"32614","ENSG00000285556.1","","ENSG00000285556"
"32615","ENSG00000285562.1","","ENSG00000285562"
"32616","ENSG00000285581.1","","ENSG00000285581"
"32617","ENSG00000285582.1","","ENSG00000285582"
"32618","ENSG00000285587.1","","ENSG00000285587"
"32619","ENSG00000285615.1","","ENSG00000285615"
"32620","ENSG00000285630.1","","ENSG00000285630"
"32621","ENSG00000285634.3","","ENSG00000285634"
"32622","ENSG00000285644.1","","ENSG00000285644"
"32623","ENSG00000285650.1","","ENSG00000285650"
"32624","ENSG00000285662.2","FAM245B","ENSG00000285662"
"32625","ENSG00000285671.1","","ENSG00000285671"
"32626","ENSG00000285676.3","","ENSG00000285676"
"32627","ENSG00000285686.1","LINC02834","ENSG00000285686"
"32628","ENSG00000285705.1","","ENSG00000285705"
"32629","ENSG00000285706.1","","ENSG00000285706"
"32630","ENSG00000285712.1","","ENSG00000285712"
"32631","ENSG00000285715.1","","ENSG00000285715"
"32632","ENSG00000285737.1","LINC02680","ENSG00000285737"
"32633","ENSG00000285739.1","","ENSG00000285739"
"32634","ENSG00000285740.1","","ENSG00000285740"
"32635","ENSG00000285743.1","","ENSG00000285743"
"32636","ENSG00000285750.1","","ENSG00000285750"
"32637","ENSG00000285781.1","","ENSG00000285781"
"32638","ENSG00000285786.1","","ENSG00000285786"
"32639","ENSG00000285803.1","","ENSG00000285803"
"32640","ENSG00000285807.1","","ENSG00000285807"
"32641","ENSG00000285810.1","","ENSG00000285810"
"32642","ENSG00000285820.1","","ENSG00000285820"
"32643","ENSG00000285824.1","","ENSG00000285824"
"32644","ENSG00000285837.1","","ENSG00000285837"
"32645","ENSG00000285845.1","","ENSG00000285845"
"32646","ENSG00000285846.1","","ENSG00000285846"
"32647","ENSG00000285852.1","","ENSG00000285852"
"32648","ENSG00000285859.1","","ENSG00000285859"
"32649","ENSG00000285871.1","","ENSG00000285871"
"32650","ENSG00000285884.3","","ENSG00000285884"
"32651","ENSG00000285907.1","","ENSG00000285907"
"32652","ENSG00000285932.1","","ENSG00000285932"
"32653","ENSG00000285955.1","","ENSG00000285955"
"32654","ENSG00000285958.1","","ENSG00000285958"
"32655","ENSG00000285972.1","CERNA2","ENSG00000285972"
"32656","ENSG00000285973.2","","ENSG00000285973"
"32657","ENSG00000285985.1","LINC02689","ENSG00000285985"
"32658","ENSG00000285987.1","","ENSG00000285987"
"32659","ENSG00000285988.1","","ENSG00000285988"
"32660","ENSG00000285994.1","","ENSG00000285994"
"32661","ENSG00000286078.1","","ENSG00000286078"
"32662","ENSG00000286088.1","","ENSG00000286088"
"32663","ENSG00000286112.1","KYAT1","ENSG00000286112"
"32664","ENSG00000286114.1","","ENSG00000286114"
"32665","ENSG00000286116.1","","ENSG00000286116"
"32666","ENSG00000286135.1","SPADH","ENSG00000286135"
"32667","ENSG00000286196.1","","ENSG00000286196"
"32668","ENSG00000286243.1","","ENSG00000286243"
"32669","ENSG00000286255.1","OR4F8BP","ENSG00000286255"
